Year,Fahrenheit High Temp,Fahrenheit Min Temp,Precipitation,Snow,White Christmas,Celcius Min Temp,Celcius High Temp
1989,36,14,0.03,0.5,TRUE,-10.0,2.2
1990,28,-1,0,0,FALSE,-18.3,-2.2
1991,42,17,0,0,FALSE,-8.3,5.6
1992,25,10,,,Not Defined,-12.2,-3.9
1993,18,5,0.03,0.5,TRUE,-15.0,-7.8
1994,52,24,0,0,FALSE,-4.4,11.1
1995,31,14,0.02,0.2,TRUE,-10.0,-0.6
1996,9,1,0.03,,Not Defined,-17.2,-12.8
1997,35,26,,0,FALSE,-3.3,1.7
1998,33,17,0,0,FALSE,-8.3,0.6
1999,31,7,0,0,FALSE,-13.9,-0.6
2000,17,-7,0,0,FALSE,-21.7,-8.3
2001,22,12,,0.2,TRUE,-11.1,-5.6
2002,29,23,0.08,2,TRUE,-5.0,-1.7
2003,36,17,0,0,FALSE,-8.3,2.2
2004,19,11,0.02,0.3,TRUE,-11.7,-7.2
2005,36,33,0.03,,Not Defined,0.6,2.2
2006,37,30,,,Not Defined,-1.1,2.8
2007,42,21,0,0,FALSE,-6.1,5.6
2008,24,0,0,0,FALSE,-17.8,-4.4
2009,43,21,0.46,0.4,TRUE,-6.1,6.1
2010,31,20,0.06,0.9,TRUE,-6.7,-0.6
2011,45,29,0,0,FALSE,-1.7,7.2
2012,33,25,0.01,0.1,TRUE,-3.9,0.6
2013,27,18,0.07,1.2,TRUE,-7.8,-2.8
2014,42,33,0,0,FALSE,0.6,5.6
2015,44,32,0,0,FALSE,0.0,6.7
2016,39,32,0.09,0,FALSE,0.0,3.9
2017,21,2,0.01,0.1,TRUE,-16.7,-6.1
2018,45,28,0,0,FALSE,-2.2,7.2
